S1,S2,S3,OpCode,Result
0000000000000000,0000000000000000,0000000000000000,0,XXXXXXXXXXXXXXXX
0000000000000000,0000000000000000,0000000000000000,0,0000000000000000
DEADBEEFDEADBEEF,DEADBEEFDEADBEEF,71985CDF71985CDF,2,09B7774209B77742
BEEFDEADBEEFDEAD,BEEFDEADBEEFDEAD,71985CDF71985CDF,1,A210BB95A210BB95
BEEFDEADBEEFDEAD,BEEFDEADBEEFDEAD,71985CDF71985CDF,3,2430FE3B2430FE3B
