RD_Data,Imm16,LI_Offset,Result
0000000000000000,0000,0,XXXXXXXXXXXXXXXX
0000000000000000,0000,0,0000000000000000
FFFFFFFFFFFFFFFF,AAAA,0,FFFFFFFFFFFFAAAA
FFFFFFFFFFFFFFFF,AAAA,1,FFFFFFFFAAAAFFFF
FFFFFFFFFFFFFFFF,AAAA,2,FFFFAAAAFFFFFFFF
FFFFFFFFFFFFFFFF,AAAA,3,AAAAFFFFFFFFFFFF
